"id","timestamp","detail","level"
78465,"2026-07-02 21:31:25.568134",unable to create a new instance,WARNING
78466,"2026-07-02 21:31:25.573167",no browser available for f18c9a26-544c-44ea-a72b-097c28445603,WARNING
78467,"2026-07-02 21:31:25.576478",Ending update loop: 26149,DEBUG
78468,"2026-07-02 21:31:26.254808",Starting update loop: 26150,DEBUG
78469,"2026-07-02 21:31:26.497933",selected target https://www.play-in.com/en/extension/1401/magic-the-gathering-le-hobbit/cartes/?_rsc=thdsj,INFO
78470,"2026-07-02 21:31:26.502865",unable to create a new instance,WARNING
78471,"2026-07-02 21:31:26.506847",no browser available for f18c9a26-544c-44ea-a72b-097c28445603,WARNING
78472,"2026-07-02 21:31:26.510452",Ending update loop: 26150,DEBUG
78473,"2026-07-02 21:31:27.254201",Starting update loop: 26151,DEBUG
78474,"2026-07-02 21:31:27.925164",selected target https://www.play-in.com/en/extension/1401/magic-the-gathering-le-hobbit/cartes/?_rsc=thdsj,INFO
78475,"2026-07-02 21:31:27.936025",unable to create a new instance,WARNING
78476,"2026-07-02 21:31:27.940893",no browser available for f18c9a26-544c-44ea-a72b-097c28445603,WARNING
78477,"2026-07-02 21:31:27.943717",task 8133d8d1-56e0-4147-acf2-9aac9866207c failed: ,WARNING
78478,"2026-07-02 21:31:27.949362",Ending update loop: 26151,DEBUG
78479,"2026-07-02 21:31:28.254609",Starting update loop: 26152,DEBUG
78480,"2026-07-02 21:31:28.487506",selected target https://www.play-in.com/en/extension/1401/magic-the-gathering-le-hobbit/cartes/?_rsc=thdsj,INFO
78481,"2026-07-02 21:31:28.491697",unable to create a new instance,WARNING
78482,"2026-07-02 21:31:28.495403",no browser available for f18c9a26-544c-44ea-a72b-097c28445603,WARNING
78483,"2026-07-02 21:31:28.499740",Ending update loop: 26152,DEBUG
78484,"2026-07-02 21:31:29.254930",Starting update loop: 26153,DEBUG
78485,"2026-07-02 21:31:29.675919",selected target https://www.play-in.com/en/extension/1401/magic-the-gathering-le-hobbit/cartes/?_rsc=thdsj,INFO
78486,"2026-07-02 21:31:29.681330",unable to create a new instance,WARNING
78487,"2026-07-02 21:31:29.684130",no browser available for f18c9a26-544c-44ea-a72b-097c28445603,WARNING
78488,"2026-07-02 21:31:29.688507",Ending update loop: 26153,DEBUG
78489,"2026-07-02 21:31:30.254324",Starting update loop: 26154,DEBUG
78490,"2026-07-02 21:31:30.495731",selected target https://www.play-in.com/en/extension/1401/magic-the-gathering-le-hobbit/cartes/?_rsc=thdsj,INFO
78491,"2026-07-02 21:31:30.500718",unable to create a new instance,WARNING
78492,"2026-07-02 21:31:30.503373",no browser available for f18c9a26-544c-44ea-a72b-097c28445603,WARNING
78493,"2026-07-02 21:31:30.506474",Ending update loop: 26154,DEBUG
78494,"2026-07-02 21:31:31.256095",Starting update loop: 26155,DEBUG
78495,"2026-07-02 21:31:31.641411",selected target https://www.play-in.com/en/extension/1401/magic-the-gathering-le-hobbit/cartes/?_rsc=thdsj,INFO
78496,"2026-07-02 21:31:31.646634",unable to create a new instance,WARNING
78497,"2026-07-02 21:31:31.650552",no browser available for f18c9a26-544c-44ea-a72b-097c28445603,WARNING
78498,"2026-07-02 21:31:31.654455",Ending update loop: 26155,DEBUG
78499,"2026-07-02 21:31:32.254724",Starting update loop: 26156,DEBUG
78500,"2026-07-02 21:31:32.500437",selected target https://www.play-in.com/en/extension/1401/magic-the-gathering-le-hobbit/cartes/?_rsc=thdsj,INFO
78501,"2026-07-02 21:31:32.503769",unable to create a new instance,WARNING
78502,"2026-07-02 21:31:32.508298",no browser available for f18c9a26-544c-44ea-a72b-097c28445603,WARNING
78503,"2026-07-02 21:31:32.513487",Ending update loop: 26156,DEBUG
78504,"2026-07-02 21:31:33.254716",Starting update loop: 26157,DEBUG
78505,"2026-07-02 21:31:33.574133",selected target https://www.play-in.com/en/extension/1401/magic-the-gathering-le-hobbit/cartes/?_rsc=thdsj,INFO
78506,"2026-07-02 21:31:33.579924",unable to create a new instance,WARNING
78507,"2026-07-02 21:31:33.583985",no browser available for f18c9a26-544c-44ea-a72b-097c28445603,WARNING
78508,"2026-07-02 21:31:33.587520",Ending update loop: 26157,DEBUG
78509,"2026-07-02 21:31:34.258708",Starting update loop: 26158,DEBUG
78510,"2026-07-02 21:31:34.509858",selected target https://www.play-in.com/en/extension/1401/magic-the-gathering-le-hobbit/cartes/?_rsc=thdsj,INFO
78511,"2026-07-02 21:31:34.515678",unable to create a new instance,WARNING
78512,"2026-07-02 21:31:34.521282",no browser available for f18c9a26-544c-44ea-a72b-097c28445603,WARNING
78513,"2026-07-02 21:31:34.524565",Ending update loop: 26158,DEBUG
78514,"2026-07-02 21:31:35.255226",Starting update loop: 26159,DEBUG
78515,"2026-07-02 21:31:35.611498",selected target https://www.play-in.com/en/extension/1401/magic-the-gathering-le-hobbit/cartes/?_rsc=thdsj,INFO
78516,"2026-07-02 21:31:35.616170",unable to create a new instance,WARNING
78517,"2026-07-02 21:31:35.619489",no browser available for f18c9a26-544c-44ea-a72b-097c28445603,WARNING
78518,"2026-07-02 21:31:35.623907",Ending update loop: 26159,DEBUG
78519,"2026-07-02 21:31:36.255018",Starting update loop: 26160,DEBUG
78520,"2026-07-02 21:31:36.516491",selected target https://www.play-in.com/en/extension/1401/magic-the-gathering-le-hobbit/cartes/?_rsc=thdsj,INFO
78521,"2026-07-02 21:31:36.520640",unable to create a new instance,WARNING
78522,"2026-07-02 21:31:36.524503",no browser available for f18c9a26-544c-44ea-a72b-097c28445603,WARNING
78523,"2026-07-02 21:31:36.528018",Ending update loop: 26160,DEBUG
78524,"2026-07-02 21:31:37.255041",Starting update loop: 26161,DEBUG
78525,"2026-07-02 21:31:37.649681",selected target https://www.play-in.com/en/extension/1401/magic-the-gathering-le-hobbit/cartes/?_rsc=thdsj,INFO
78526,"2026-07-02 21:31:37.653396",unable to create a new instance,WARNING
78527,"2026-07-02 21:31:37.743123",no browser available for f18c9a26-544c-44ea-a72b-097c28445603,WARNING
78528,"2026-07-02 21:31:37.746515",Ending update loop: 26161,DEBUG
78529,"2026-07-02 21:31:38.254316",Starting update loop: 26162,DEBUG
78530,"2026-07-02 21:31:38.492980",selected target https://www.play-in.com/en/extension/1401/magic-the-gathering-le-hobbit/cartes/?_rsc=thdsj,INFO
78531,"2026-07-02 21:31:38.498487",unable to create a new instance,WARNING
78532,"2026-07-02 21:31:38.501052",no browser available for f18c9a26-544c-44ea-a72b-097c28445603,WARNING
78533,"2026-07-02 21:31:38.504461",Ending update loop: 26162,DEBUG
78534,"2026-07-02 21:31:39.255066",Starting update loop: 26163,DEBUG
78535,"2026-07-02 21:31:39.620441",selected target https://www.play-in.com/en/extension/1401/magic-the-gathering-le-hobbit/cartes/?_rsc=thdsj,INFO
78536,"2026-07-02 21:31:39.625863",unable to create a new instance,WARNING
78537,"2026-07-02 21:31:39.628268",no browser available for f18c9a26-544c-44ea-a72b-097c28445603,WARNING
78538,"2026-07-02 21:31:39.630916",Ending update loop: 26163,DEBUG
78539,"2026-07-02 21:31:40.254621",Starting update loop: 26164,DEBUG
78540,"2026-07-02 21:31:40.496101",selected target https://www.play-in.com/en/extension/1401/magic-the-gathering-le-hobbit/cartes/?_rsc=thdsj,INFO
78541,"2026-07-02 21:31:40.501414",unable to create a new instance,WARNING
78542,"2026-07-02 21:31:40.504245",no browser available for f18c9a26-544c-44ea-a72b-097c28445603,WARNING
78543,"2026-07-02 21:31:40.507403",Ending update loop: 26164,DEBUG
78544,"2026-07-02 21:31:41.255449",Starting update loop: 26165,DEBUG
78545,"2026-07-02 21:31:42.265460",selected target https://www.play-in.com/en/extension/1401/magic-the-gathering-le-hobbit/cartes/?_rsc=thdsj,INFO
78546,"2026-07-02 21:31:42.269727",unable to create a new instance,WARNING
78547,"2026-07-02 21:31:42.273977",no browser available for f18c9a26-544c-44ea-a72b-097c28445603,WARNING
78548,"2026-07-02 21:31:42.277209",Ending update loop: 26165,DEBUG
78549,"2026-07-02 21:31:42.280436",Starting update loop: 26166,DEBUG
78550,"2026-07-02 21:31:42.512418",selected target https://www.play-in.com/en/extension/1401/magic-the-gathering-le-hobbit/cartes/?_rsc=thdsj,INFO
78551,"2026-07-02 21:31:42.516678",unable to create a new instance,WARNING
78552,"2026-07-02 21:31:42.525595",no browser available for f18c9a26-544c-44ea-a72b-097c28445603,WARNING
78553,"2026-07-02 21:31:42.541884",Ending update loop: 26166,DEBUG
78554,"2026-07-02 21:31:43.254649",Starting update loop: 26167,DEBUG
78555,"2026-07-02 21:31:43.688636",selected target https://www.play-in.com/en/extension/1401/magic-the-gathering-le-hobbit/cartes/?_rsc=thdsj,INFO
78556,"2026-07-02 21:31:43.713615",browser Tiny Aria selected for f18c9a26-544c-44ea-a72b-097c28445603,INFO
78557,"2026-07-02 21:31:43.717989",Ending update loop: 26167,DEBUG
78558,"2026-07-02 21:31:44.255041",Starting update loop: 26168,DEBUG
78559,"2026-07-02 21:31:44.510801",selected target https://www.play-in.com/en/extension/1342/les-secrets-de-strixhaven/cartes/?_rsc=thdsj,INFO
78560,"2026-07-02 21:31:44.515919",browser Tiny Aria selected for 8133d8d1-56e0-4147-acf2-9aac9866207c,INFO
78561,"2026-07-02 21:31:44.536363",Ending update loop: 26168,DEBUG
